Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Virus or Viroid,Chrysanthemum stunt viroid,Present (Limited),3.0,2.0,18.0,Regulated non quarantine pest,2.0,2.0,12.0,Pest spreads to maximum extent,Chrysanthemum stunt,No,No
Fungus,Chrysomyxa arctostaphyli,Absent,3.0,3.0,45.0,Regulated quarantine pest,2.0,3.0,30.0,Pest is introduced,Chrysomyxa arctostaphyli,Yes,No
Fungus,Chrysomyxa ledicola,Absent,3.0,2.0,30.0,Picea prohibited from outside Europe. Labrador tea can still  be imported.,2.0,2.0,20.0,Pest is introduced,Chrysomyxa ledicola,No,No
Fungus,Ciborinia camelliae,Present (Limited),2.0,2.0,4.0,,2.0,2.0,4.0,Pest spreads to maximum extent,Ciborinia camelliae,No,No
Virus or Viroid,Citrus bark cracking viroid,Absent,3.0,4.0,24.0,Regulated non quarantine pest (Northern Ireland) on Humulus lupulus. ,2.0,4.0,16.0,Pest is introduced,Citrus bark,No,No
Virus or Viroid,Citrus blight agent,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Citrus blight,No,No
Virus or Viroid,Citrus chlorotic spot dichorhavirus,Absent,,,,Regulated quarantine pest (Northern Ireland),,,,,Citrus chlorotic,Yes,No
Virus or Viroid,Citrus cristacortis agent,,,,,,,,,,Citrus cristacortis,No,No
Virus or Viroid,Citrus exocortis viroid,Absent,3.0,2.0,18.0,Regulated quarantine pest (Great Britain); Northern Ireland: Regulated non quarantine pest,3.0,2.0,18.0,Pest is introduced,Citrus exocortis,Yes,No
Virus or Viroid,Citrus impietratura agent,Absent,,,,,,,,,Citrus impietratura,No,No
Virus or Viroid,Citrus leaf blotch virus,Absent,,,,,,,,,Citrus leaf,No,No
Virus or Viroid,Citrus leprosis viruses,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland) (only CiLV-C; CiLV-C2; HGSV-2; Citrus strain of OFV; CiLV-N sensu novo),0.0,0.0,1.0,Pest is introduced,Citrus leprosis,Yes,No
Virus or Viroid,Citrus mosaic virus,Absent,0.0,0.0,1.0,Regulated quarantine pest ,0.0,0.0,1.0,Pest is introduced,Citrus mosaic,Yes,No
Virus or Viroid,Citrus psorosis ophiovirus,Absent,0.0,0.0,1.0,Regulated non quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Citrus psorosis,No,No
Virus or Viroid,Citrus tatter leaf virus,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Citrus tatter,No,No
Virus or Viroid,Citrus tristeza virus European isolates,Absent,0.0,0.0,1.0,Regulated non quarantine pest (Northern Ireland). Regulated pest free area pest (Malta),0.0,0.0,1.0,Pest is introduced,Citrus tristeza,No,No
Virus or Viroid,Citrus tristeza virus non-European isolates,Absent,0.0,0.0,1.0,Regulated quarantine pest (Northern Ireland),0.0,0.0,1.0,Pest is introduced,Citrus tristeza,Yes,No
Virus or Viroid,Citrus variegation virus,Absent,,,,,,,,,Citrus variegation,No,No
Virus or Viroid,Citrus vein enation woody gall,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Citrus vein,No,No
Bacterium,Clavibacter michiganensis subsp. insidiosus,Unknown,1.0,2.0,2.0,Regulated non quarantine pest,1.0,2.0,2.0,Pest spreads to maximum extent,Clavibacter michiganensis,No,No
Bacterium,Clavibacter michiganensis subsp. michiganensis,Present (Limited),3.0,4.0,48.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest spreads to maximum extent,Clavibacter michiganensis,No,No
Bacterium,Clavibacter sepedonicus,Absent,5.0,5.0,125.0,Regulated quarantine pest,2.0,4.0,40.0,Pest is introduced,Clavibacter sepedonicus,Yes,No
Phytoplasma,Clover phyllody phytoplasma,Present (Limited),,,,,,,,,Clover phyllody,No,No
Virus or Viroid,Clover yellow mosaic virus,Absent,2.0,2.0,16.0,,2.0,2.0,16.0,Pest is introduced,Clover yellow,No,No
Virus or Viroid,Coconut cadang-cadang viroid,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Coconut cadang-cadang,Yes,No
Fungus,Coleosporium asterum,Absent,3.0,2.0,30.0,Prohibition of planting matierial of conifers; other than bonsai derogations; Provisional quarantine pest (Great Britain);,3.0,2.0,30.0,Pest is introduced,Coleosporium asterum,No,No
Fungus,Coleosporium eupatorii,Absent,3.0,3.0,45.0,Bonsai derogations; conifer prohibition otherwise; PQP in GB,2.0,3.0,30.0,Pest is introduced,Coleosporium eupatorii,No,No
Fungus,Coleosporium paederiae,Absent,3.0,3.0,45.0,Provisional quarantine pest (Great Britain). Conifer prohibition &amp; bonsai derogations,2.0,3.0,30.0,Pest is introduced,Coleosporium paederiae,No,No
Fungus,Coleosporium phellodendri,Absent,3.0,3.0,45.0,bonsai derogations; otherwise coniferous planting material prohibition; PQP for GB,2.0,3.0,30.0,Pest is introduced,Coleosporium phellodendri,No,No
Fungus,Coleosporium plectranthi,Absent,3.0,2.0,12.0,Conifer prohibition,2.0,2.0,8.0,Pest is introduced,Coleosporium plectranthi,No,No
Fungus,Colletotrichum acutatum,Present (Widespread),3.0,4.0,60.0,Regulated non quarantine pest,2.0,4.0,40.0,Pest spreads to maximum extent,Colletotrichum acutatum,No,No
Fungus,Colletotrichum boninense,Unknown,4.0,2.0,32.0,,4.0,2.0,32.0,Pest is introduced,Colletotrichum boninense,No,No
Fungus,Colletotrichum chlorophyti,Unknown,,,,,,,,,Colletotrichum chlorophyti,No,No
Fungus,Colletotrichum chrysophilum,Unknown,,,,,,,,,Colletotrichum chrysophilum,No,No
Fungus,Colletotrichum cymbidiicola,Unknown,,,,,,,,,Colletotrichum cymbidiicola,No,No
Fungus,Colletotrichum fructicola,Unknown,,,,,,,,,Colletotrichum fructicola,No,No
Fungus,Colletotrichum gloeosporioides,Present (Widespread),,,,,,,,,Colletotrichum gloeosporioides,No,No
Fungus,Colletotrichum karsti,Unknown,,,,,,,,,Colletotrichum karsti,No,No
Fungus,Colletotrichum linicola,Present (Unknown Distribution),,,,,,,,,Colletotrichum linicola,No,No
Fungus,Colletotrichum scovillei,Unknown,,,,,,,,,Colletotrichum scovillei,No,No
Fungus,Colletotrichum siamense,Unknown,,,,,,,,,Colletotrichum siamense,No,No
Fungus,Colletotrichum theobromicola,Unknown,,,,,,,,,Colletotrichum theobromicola,No,No
Fungus,Colletotrichum truncatum,Unknown,,,,,,,,,Colletotrichum truncatum,No,No
Virus or Viroid,Colombian datura virus,Unknown,5.0,3.0,45.0,,5.0,3.0,45.0,Pest is introduced,Colombian datura,No,No
Virus or Viroid,Columnea latent viroid,Absent,4.0,4.0,48.0,Regulated quarantine pest (Great Britain),3.0,4.0,36.0,Pest is introduced,Columnea latent,Yes,No
Fungus,Coniferiporia sulphurascens,Absent,2.0,4.0,40.0,Regulated quarantine pest.,2.0,4.0,40.0,Pest is introduced,Coniferiporia sulphurascens,Yes,No
Fungus,Coniferiporia weirii,Absent,2.0,4.0,40.0,Regulated quarantine pest,2.0,4.0,40.0,Pest is introduced,Coniferiporia weirii,Yes,No
Fungus,Corinectria fuckeliana ,Present (Limited),3.0,3.0,45.0,,3.0,3.0,45.0,Pest spreads to maximum extent,Corinectria fuckeliana,No,No
Virus or Viroid,Cowpea mild mottle virus,Absent,2.0,1.0,6.0,Regulated quarantine pest (Northern Ireland),2.0,1.0,6.0,Pest is introduced,Cowpea mild,Yes,No
Phytoplasma,Cranberry false blossom phytoplasma,Absent,,,,,,,,,Cranberry false,No,No
Fungus,Cronartium coleosporioides,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Cronartium coleosporioides,Yes,No
Fungus,Cronartium comandrae,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Cronartium comandrae,Yes,No
Fungus,Cronartium comptoniae,Absent,3.0,4.0,60.0,Regulated quarantine pest,1.0,4.0,20.0,Pest is introduced,Cronartium comptoniae,Yes,No
Fungus,Cronartium harknessii,Absent,3.0,5.0,75.0,Regulated quarantine pest.,1.0,5.0,25.0,Pest is introduced,Cronartium harknessii,Yes,No
Fungus,Cronartium himalayense,Absent,2.0,3.0,6.0,Regulated quarantine pest,1.0,3.0,3.0,Pest is introduced,Cronartium himalayense,Yes,No
Fungus,Cronartium kamtschaticum,Absent,3.0,3.0,27.0,Regulated quarantine pest,1.0,3.0,9.0,Pest is introduced,Cronartium kamtschaticum,Yes,No
Fungus,Cronartium quercuum,Absent,3.0,3.0,45.0,Regulated quarantine pest,1.0,3.0,15.0,Pest is introduced,Cronartium quercuum,Yes,No
