Type of pest,Pest Name,UK,Likelihood (unmitigated),Impact (unmitigated),Risk Rating (unmitigated),Regulation,Likelihood (mitigated),Impact (mitigated),Risk Rating (mitigated),Scenario for Risk Register,Species,Regulated,Natural Spread
Bacterium,Xanthomonas arboricola pv. pruni,Absent,5.0,3.0,45.0,Regulated quarantine pest Great Britain. PZ Northern Ireland.,4.0,3.0,36.0,Pest is introduced,Xanthomonas arboricola,Yes,No
Bacterium,Xanthomonas axonopodis pv. allii,Absent,1.0,3.0,9.0,,1.0,3.0,9.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. citri,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas axonopodis,Yes,No
Bacterium,Xanthomonas axonopodis pv. dieffenbachiae,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. phaseoli,Unknown,2.0,3.0,18.0,Regulated non quarantine pest,2.0,3.0,18.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas axonopodis pv. poinsettiicola,Absent,4.0,3.0,36.0,,3.0,2.0,18.0,Pest is introduced,Xanthomonas axonopodis,No,No
Bacterium,Xanthomonas campestris pv. fici,Absent,2.0,2.0,4.0,Regulated non quarantine pest,2.0,2.0,4.0,Pest is introduced,Xanthomonas campestris,No,No
Bacterium,Xanthomonas dyei,Unknown,2.0,2.0,16.0,,2.0,2.0,16.0,Pest spreads to maximum extent,Xanthomonas dyei,No,No
Bacterium,Xanthomonas euvesicatoria,Absent,4.0,4.0,64.0,Regulated non quarantine pest,3.0,3.0,36.0,Pest is introduced,Xanthomonas euvesicatoria,No,No
Bacterium,Xanthomonas fragariae,Absent,4.0,2.0,40.0,Regulated non quarantine pest,3.0,2.0,30.0,Pest is introduced,Xanthomonas fragariae,No,No
Bacterium,Xanthomonas fuscans subsp. fuscans,Unknown,2.0,3.0,18.0,RNQP on vegetable seed of Phaseolus vulgaris; for which there is a 0% tolerance,2.0,3.0,18.0,Pest is introduced,Xanthomonas fuscans,No,No
Bacterium,Xanthomonas gardneri,Absent,3.0,4.0,48.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas gardneri,No,No
Bacterium,Xanthomonas hydrangeae,Absent,4.0,2.0,16.0,,4.0,2.0,16.0,Pest is introduced,Xanthomonas hydrangeae,No,No
Bacterium,Xanthomonas oryzae pv. oryzae,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas oryzae,Yes,No
Bacterium,Xanthomonas oryzae pv. oryzicola,Absent,0.0,0.0,1.0,Regulated quarantine pest (NI),0.0,0.0,1.0,Pest is introduced,Xanthomonas oryzae,Yes,No
Bacterium,Xanthomonas perforans,Absent,3.0,4.0,48.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas perforans,No,No
Bacterium,Xanthomonas translucens pv. translucens,Absent,3.0,3.0,45.0,,2.0,3.0,30.0,Pest is introduced,Xanthomonas translucens,No,No
Bacterium,Xanthomonas vesicatoria,Absent,5.0,4.0,80.0,Regulated non quarantine pest,2.0,3.0,24.0,Pest is introduced,Xanthomonas vesicatoria,No,No
Bacterium,Xylella fastidiosa,Absent,4.0,3.0,60.0,QP for both GB and NI. Import regulations on planting material differ.,2.0,3.0,30.0,Pest is introduced,Xylella fastidiosa,Yes,No
Bacterium,Xylella taiwanensis,Absent,3.0,3.0,45.0,,2.0,3.0,30.0,Pest is introduced,Xylella taiwanensis,No,No
Bacterium,Xylophilus ampelinus,Absent,2.0,4.0,16.0,QP GB; RNQP NI,2.0,4.0,16.0,Pest is introduced,Xylophilus ampelinus,No,No
Phytoplasma,Yucatan lethal decline phytoplasma,Absent,0.0,0.0,1.0,,0.0,0.0,1.0,Pest is introduced,Yucatan lethal,No,No
